,timestamp,open,high,low,close,volume
0,2020-01-01 00:00:00,13.7071,13.716,13.699,13.699,1604.4
1,2020-01-01 00:05:00,13.7,13.7102,13.6988,13.7,1782.4
2,2020-01-01 00:10:00,13.701,13.7128,13.701,13.7104,2854.41
3,2020-01-01 00:15:00,13.7118,13.7198,13.7006,13.7095,1081.23
4,2020-01-01 00:20:00,13.7107,13.7123,13.7004,13.7043,891.17
5,2020-01-01 00:25:00,13.7043,13.708,13.7018,13.7018,1414.77
6,2020-01-01 00:30:00,13.7019,13.7069,13.7006,13.7069,250.03
7,2020-01-01 00:35:00,13.7008,13.7051,13.7007,13.7051,150.33
8,2020-01-01 00:40:00,13.7051,13.7197,13.7035,13.7197,2299.51
9,2020-01-01 00:45:00,13.7176,13.73,13.7147,13.73,1542.77
10,2020-01-01 00:50:00,13.7284,13.7494,13.7225,13.7425,635.75
11,2020-01-01 00:55:00,13.7469,13.7469,13.7122,13.7161,2178.86
12,2020-01-01 01:00:00,13.7159,13.7194,13.7004,13.701,6609.47
13,2020-01-01 01:05:00,13.701,13.7105,13.7,13.7079,5018.62
14,2020-01-01 01:10:00,13.7125,13.7182,13.7,13.7041,4358.32
15,2020-01-01 01:15:00,13.7051,13.7172,13.7008,13.7027,3445.14
16,2020-01-01 01:20:00,13.7024,13.7024,13.7,13.7002,8187.39
17,2020-01-01 01:25:00,13.7023,13.711,13.7,13.7048,5586.67
18,2020-01-01 01:30:00,13.7038,13.7211,13.7004,13.7053,4481.68
19,2020-01-01 01:35:00,13.7042,13.7069,13.7,13.7002,3847.14
20,2020-01-01 01:40:00,13.7002,13.7067,13.7002,13.7035,5518.74
21,2020-01-01 01:45:00,13.7043,13.7108,13.7019,13.7103,5025.31
22,2020-01-01 01:50:00,13.7094,13.7153,13.6903,13.6925,7300.01
23,2020-01-01 01:55:00,13.6917,13.7052,13.6906,13.6981,2638.2
24,2020-01-01 02:00:00,13.6981,13.7273,13.6953,13.7141,3976.52
25,2020-01-01 02:05:00,13.7141,13.7315,13.7124,13.7219,4795.39
26,2020-01-01 02:10:00,13.7204,13.7377,13.7199,13.7337,1869.75
27,2020-01-01 02:15:00,13.7318,13.7433,13.7182,13.7382,5069.92
28,2020-01-01 02:20:00,13.7443,13.7546,13.7377,13.7426,3470.39
29,2020-01-01 02:25:00,13.7438,13.8,13.7428,13.7854,9327.15
