Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-12-31,394.58,398.83,393.8,398.79,1996500.0,0.0,1.0,394.58,398.83,393.8,398.79,1996500.0
2013-12-30,399.41,399.92,392.45,393.37,2487100.0,0.0,1.0,399.41,399.92,392.45,393.37,2487100.0
2013-12-27,404.65,405.63,396.25,398.08,1986900.0,0.0,1.0,404.65,405.63,396.25,398.08,1986900.0
2013-12-26,401.79,404.52,396.81,404.39,1868500.0,0.0,1.0,401.79,404.52,396.81,404.39,1868500.0
2013-12-24,402.52,403.7249,396.37,399.2,1380400.0,0.0,1.0,402.52,403.7249,396.37,399.2,1380400.0
2013-12-23,403.69,405.0,399.2,402.92,2659500.0,0.0,1.0,403.69,405.0,399.2,402.92,2659500.0
2013-12-20,396.55,404.72,395.78,402.2,5033900.0,0.0,1.0,396.55,404.72,395.78,402.2,5033900.0
2013-12-19,394.27,397.29,392.6,395.19,2427200.0,0.0,1.0,394.27,397.29,392.6,395.19,2427200.0
2013-12-18,389.23,396.3,383.1,395.96,3489100.0,0.0,1.0,389.23,396.3,383.1,395.96,3489100.0
2013-12-17,390.65,391.36,386.5,387.65,2343900.0,0.0,1.0,390.65,391.36,386.5,387.65,2343900.0
2013-12-16,385.03,391.7,385.0,388.97,2251700.0,0.0,1.0,385.03,391.7,385.0,388.97,2251700.0
2013-12-13,385.32,389.42,383.8,384.24,3025000.0,0.0,1.0,385.32,389.42,383.8,384.24,3025000.0
2013-12-12,381.26,385.0,379.5,381.25,2123700.0,0.0,1.0,381.26,385.0,379.5,381.25,2123700.0
2013-12-11,387.34,388.98,382.0,382.19,2451300.0,0.0,1.0,387.34,388.98,382.0,382.19,2451300.0
2013-12-10,383.74,389.06,383.02,387.78,2736800.0,0.0,1.0,383.74,389.06,383.02,387.78,2736800.0
2013-12-09,388.11,388.21,382.57,384.89,2761800.0,0.0,1.0,388.11,388.21,382.57,384.89,2761800.0
2013-12-06,388.35,388.35,383.83,386.95,1984700.0,0.0,1.0,388.35,388.35,383.83,386.95,1984700.0
2013-12-05,386.65,386.65,381.371,384.49,1906500.0,0.0,1.0,386.65,386.65,381.371,384.49,1906500.0
2013-12-04,383.5,389.69,381.4914,385.96,2355300.0,0.0,1.0,383.5,389.69,381.4914,385.96,2355300.0
2013-12-03,390.11,390.949,383.1,384.66,3702900.0,0.0,1.0,390.11,390.949,383.1,384.66,3702900.0
2013-12-02,399.0,399.0,389.1,392.3,4714000.0,0.0,1.0,399.0,399.0,389.1,392.3,4714000.0
2013-11-29,389.1,394.0999,388.62,393.62,2406000.0,0.0,1.0,389.1,394.0999,388.62,393.62,2406000.0
2013-11-27,383.5,387.0,382.611,386.71,2269700.0,0.0,1.0,383.5,387.0,382.611,386.71,2269700.0
2013-11-26,377.61,382.5,374.8175,381.37,2724400.0,0.0,1.0,377.61,382.5,374.8175,381.37,2724400.0
