date,open,high,close,low,volume,amount
2018-06-13,3071.4640000000004,3071.4640000000004,3049.797,3044.12,11960788600,155935263092
2018-06-12,3053.028,3081.447,3079.802,3034.1009999999997,11327509600,154469092280
2018-06-11,3057.3390000000004,3063.61,3052.783,3037.914,10856378600,143037323838
2018-06-08,3100.6040000000003,3100.685,3067.1479999999997,3053.288,13468822000,161178782867
2018-06-07,3121.184,3128.715,3109.4990000000003,3105.578,12778497000,167174304078
2018-06-06,3109.175,3117.525,3115.18,3103.533,12019613500,162879956680
2018-06-05,3088.008,3114.7690000000002,3114.2059999999997,3080.046,11873559200,164806307516
2018-06-04,3083.427,3098.402,3091.191,3076.994,11459390200,154671613292
2018-06-01,3084.7540000000004,3102.0879999999997,3075.137,3059.7859999999996,12987219900,166548881781
2018-05-31,3061.829,3098.0759999999996,3095.474,3054.2690000000002,14047553200,185199037044
2018-05-30,3081.1420000000003,3085.397,3041.4429999999998,3041.0,15511512600,191995196670
2018-05-29,3129.6209999999996,3143.208,3120.461,3112.153,13571780000,177826106449
2018-05-28,3136.809,3149.665,3135.0820000000003,3115.9590000000003,12875591800,168191258411
2018-05-25,3148.41,3156.7259999999997,3141.303,3131.0679999999998,12861084300,166554049935
2018-05-24,3167.9390000000003,3173.531,3154.651,3152.0690000000004,12408580000,160658185502
2018-05-23,3205.437,3205.437,3168.9640000000004,3168.9640000000004,15780764800,199358101015
2018-05-22,3211.2470000000003,3214.5890000000004,3214.35,3192.228,14429268400,185721667752
2018-05-21,3206.176,3219.74,3213.84,3203.336,16445941300,202663464515
2018-05-18,3151.0820000000003,3193.453,3193.303,3144.776,13651691800,168038057477
2018-05-17,3170.006,3172.7659999999996,3154.283,3148.6209999999996,11399556700,150598842185
2018-05-16,3180.2259999999997,3191.948,3169.565,3166.8109999999997,13052496800,174590979834
2018-05-15,3180.425,3192.8070000000002,3192.118,3164.518,12454905100,162990790010
2018-05-14,3167.042,3183.816,3174.032,3163.4759999999997,12932735300,172410691054
2018-05-11,3179.797,3180.756,3163.263,3162.212,13065974900,167364290366
2018-05-10,3169.05,3176.138,3174.413,3155.533,13300075600,165440363878
2018-05-09,3160.138,3165.373,3159.15,3145.657,12263726800,153456426216
2018-05-08,3135.296,3169.7009999999996,3161.498,3134.062,14692706100,189011647380
2018-05-07,3094.8990000000003,3136.836,3136.645,3091.658,13894818600,178243870003
2018-05-04,3093.117,3104.093,3091.033,3086.785,11871126500,148436363354
2018-05-03,3074.5170000000003,3105.66,3100.8590000000004,3056.157,13998562000,173444959149
2018-05-02,3087.409,3097.6040000000003,3081.177,3064.763,13418456600,168246153005
2018-04-27,3082.415,3088.035,3082.232,3049.914,13122564300,179520260002
2018-04-26,3119.4959999999996,3121.933,3075.03,3067.929,13397273600,163783774602
2018-04-25,3112.3979999999997,3122.908,3117.974,3107.0009999999997,12731105300,161298141662
2018-04-24,3069.7459999999996,3136.04,3128.927,3069.7459999999996,16227480600,195545006122
2018-04-23,3063.4429999999998,3085.0570000000002,3068.012,3045.937,13168634000,157854795103
2018-04-20,3105.462,3111.171,3071.5429999999997,3065.921,15514709100,185139069149
2018-04-19,3094.2740000000003,3127.4390000000003,3117.3759999999997,3090.2870000000003,16005680500,196198984683
2018-04-18,3091.91,3096.889,3091.3990000000003,3041.625,15929050300,202238969970
2018-04-17,3112.975,3118.76,3066.797,3064.028,14722284600,185428029255
2018-04-16,3152.888,3153.1059999999998,3110.6490000000003,3096.1,15441569500,192233349250
2018-04-13,3192.042,3197.8959999999997,3159.052,3155.506,12755231000,163651750640
2018-04-12,3203.278,3205.252,3180.158,3177.0490000000004,14823131300,185040054563
2018-04-11,3197.3720000000003,3220.845,3208.0820000000003,3191.587,17586719700,211420423991
2018-04-10,3144.257,3190.6490000000003,3190.322,3139.0809999999997,16820135900,206087413147
2018-04-09,3125.442,3146.093,3138.2940000000003,3110.303,13960862100,177236920079
2018-04-04,3147.0490000000004,3163.34,3131.111,3128.867,14697668200,193492824191
2018-04-03,3130.013,3144.3320000000003,3136.633,3119.132,15221667400,189692715179
2018-04-02,3169.7790000000005,3192.34,3163.179,3159.986,17772777700,226253566388
2018-03-30,3161.7859999999996,3177.7209999999995,3168.897,3152.889,15464659600,196006696915
2018-03-29,3127.263,3174.509,3160.531,3098.2470000000003,17031238400,210920223319
2018-03-28,3130.571,3165.2129999999997,3122.29,3117.534,16350048800,208617851698
2018-03-27,3164.798,3172.778,3166.6490000000003,3143.57,18907338300,227085087304
2018-03-26,3117.3190000000004,3134.276,3133.722,3091.458,18636635000,215910259058
2018-03-23,3172.772,3188.235,3152.761,3110.664,27553201300,293405066032
2018-03-22,3281.265,3288.797,3263.48,3242.762,15043297700,184471728778
2018-03-21,3299.7309999999998,3314.2090000000003,3280.952,3268.8779999999997,16839827700,208617686675
2018-03-20,3257.219,3292.574,3290.64,3252.433,13988108100,166979881361
2018-03-19,3264.928,3280.567,3279.252,3251.047,13795498000,169772206991
2018-03-16,3290.2090000000003,3300.565,3269.882,3269.283,14120364700,167761534889
2018-03-15,3277.514,3297.098,3291.112,3273.2009999999996,14857360600,179516618063
2018-03-14,3298.6659999999997,3304.9790000000003,3291.382,3287.3559999999998,15749108500,183457630435
2018-03-13,3324.1220000000003,3333.875,3310.239,3307.3759999999997,17711435300,202375116954
2018-03-12,3319.2090000000003,3333.5609999999997,3326.699,3313.555,20653243600,247894176208
2018-03-09,3291.426,3309.715,3307.1659999999997,3283.559,16842450900,202349181916
2018-03-08,3268.347,3289.4970000000003,3288.406,3261.552,14982751900,175895391217
2018-03-07,3288.865,3308.406,3271.6679999999997,3264.764,16866501900,193489335358
2018-03-06,3266.487,3290.2529999999997,3289.6420000000003,3243.6540000000005,19535804600,224381789482
2018-03-05,3255.8709999999996,3269.4,3256.926,3236.717,14483598800,174148634504
2018-03-02,3248.446,3269.938,3254.528,3242.2670000000003,15086106300,178602991865
2018-03-01,3235.0890000000004,3280.1490000000003,3273.755,3228.585,15909832000,185277781989
2018-02-28,3264.059,3277.8320000000003,3259.408,3239.844,15104353600,180233815226
2018-02-27,3328.672,3328.672,3292.0679999999998,3284.6290000000004,17421936800,204394381464
2018-02-26,3307.295,3335.986,3329.574,3281.615,18856860200,213333034890
2018-02-23,3275.429,3294.134,3289.0240000000003,3258.488,14579036800,159502514787
2018-02-22,3237.5690000000004,3269.9159999999997,3268.559,3234.115,13873044500,157303882451
2018-02-14,3188.248,3203.4970000000003,3199.159,3171.384,10032282700,114552202959
2018-02-13,3176.107,3219.217,3184.9590000000003,3176.107,15152759700,172045207006
2018-02-12,3128.3709999999996,3168.1259999999997,3154.125,3113.605,15331083100,171003182230
2018-02-09,3172.8509999999997,3180.11,3129.8509999999997,3062.743,25638917600,272095086839
2018-02-08,3281.046,3307.1620000000003,3262.05,3225.712,20126249900,222348685287
2018-02-07,3412.744,3425.538,3309.26,3304.007,26093971400,295264429885
2018-02-06,3418.01,3440.1240000000003,3370.652,3364.216,28055547700,318818541762
2018-02-05,3411.67,3487.7209999999995,3487.4970000000003,3406.241,21767375400,252198769276
2018-02-02,3419.225,3463.164,3462.0809999999997,3388.86,20812055100,236278755619
2018-02-01,3478.67,3495.093,3446.98,3424.4190000000003,26050470700,292882256282
2018-01-31,3470.509,3495.453,3480.833,3454.7259999999997,20725340300,242657958628
