Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-12-31,243.75,252.41,242.75,250.87,3419000.0,0.0,1.0,243.75,252.41,242.75,250.87,3419000.0
2012-12-28,245.85,247.44,245.05,245.18,1858700.0,0.0,1.0,245.85,247.44,245.05,245.18,1858700.0
2012-12-27,248.28,249.35,242.86,248.31,3639300.0,0.0,1.0,248.28,249.35,242.86,248.31,3639300.0
2012-12-26,257.15,257.42,248.04,248.6314,4152700.0,0.0,1.0,257.15,257.42,248.04,248.6314,4152700.0
2012-12-24,257.3,259.5,256.96,258.62,984400.0,0.0,1.0,257.3,259.5,256.96,258.62,984400.0
2012-12-21,257.82,258.38,255.74,256.92,4704600.0,0.0,1.0,257.82,258.38,255.74,256.92,4704600.0
2012-12-20,258.36,262.41,256.54,261.5,2584600.0,0.0,1.0,258.36,262.41,256.54,261.5,2584600.0
2012-12-19,261.3,261.6699,257.68,257.99,2300000.0,0.0,1.0,261.3,261.6699,257.68,257.99,2300000.0
2012-12-18,254.57,263.11,254.57,260.4,4961000.0,0.0,1.0,254.57,263.11,254.57,260.4,4961000.0
2012-12-17,249.81,254.0,249.26,253.86,2277000.0,0.0,1.0,249.81,254.0,249.26,253.86,2277000.0
2012-12-14,250.11,251.9,247.79,249.19,2526900.0,0.0,1.0,250.11,251.9,247.79,249.19,2526900.0
2012-12-13,251.11,254.54,250.02,251.25,2460200.0,0.0,1.0,251.11,254.54,250.02,251.25,2460200.0
2012-12-12,251.07,254.36,250.06,251.76,2628100.0,0.0,1.0,251.07,254.36,250.06,251.76,2628100.0
2012-12-11,248.5,253.48,246.65,250.69,4185200.0,0.0,1.0,248.5,253.48,246.65,250.69,4185200.0
2012-12-10,253.1,254.78,247.3,247.77,3503800.0,0.0,1.0,253.1,254.78,247.3,247.77,3503800.0
2012-12-07,254.14,255.21,252.01,253.2681,2170300.0,0.0,1.0,254.14,255.21,252.01,253.2681,2170300.0
2012-12-06,253.0,255.17,251.51,253.37,3557900.0,0.0,1.0,253.0,255.17,251.51,253.37,3557900.0
2012-12-05,252.44,255.55,250.38,253.96,2852200.0,0.0,1.0,252.44,255.55,250.38,253.96,2852200.0
2012-12-04,249.94,253.0,248.66,252.4881,3114700.0,0.0,1.0,249.94,253.0,248.66,252.4881,3114700.0
2012-12-03,252.54,254.16,250.0,250.3291,2990600.0,0.0,1.0,252.54,254.16,250.0,250.3291,2990600.0
2012-11-30,250.38,252.65,248.27,252.05,3797400.0,0.0,1.0,250.38,252.65,248.27,252.05,3797400.0
2012-11-29,248.05,252.48,247.5,251.27,5310500.0,0.0,1.0,248.05,252.48,247.5,251.27,5310500.0
2012-11-28,242.45,247.23,241.504,247.11,2743400.0,0.0,1.0,242.45,247.23,241.504,247.11,2743400.0
2012-11-27,243.22,245.67,241.54,243.4017,3048500.0,0.0,1.0,243.22,245.67,241.54,243.4017,3048500.0
2012-11-26,240.39,244.319,238.0,243.62,4178300.0,0.0,1.0,240.39,244.319,238.0,243.62,4178300.0
2012-11-23,239.89,240.0,236.48,239.88,1776800.0,0.0,1.0,239.89,240.0,236.48,239.88,1776800.0
2012-11-21,233.84,238.67,232.75,238.03,2959300.0,0.0,1.0,233.84,238.67,232.75,238.03,2959300.0
2012-11-20,230.0,233.82,229.5,233.78,2771700.0,0.0,1.0,230.0,233.82,229.5,233.78,2771700.0
2012-11-19,228.32,232.5,227.45,229.71,3591200.0,0.0,1.0,228.32,232.5,227.45,229.71,3591200.0
2012-11-16,221.31,226.25,218.64,225.23,4352800.0,0.0,1.0,221.31,226.25,218.64,225.23,4352800.0
2012-11-15,222.3,225.16,218.18,220.599,3404700.0,0.0,1.0,222.3,225.16,218.18,220.599,3404700.0
2012-11-14,226.5,227.41,222.51,222.95,3034100.0,0.0,1.0,226.5,227.41,222.51,222.95,3034100.0
2012-11-13,225.12,227.9,224.71,226.6,2629800.0,0.0,1.0,225.12,227.9,224.71,226.6,2629800.0
