open_time,open,high,low,close,volume
2022-08-19 17:00:00,21781.23,21828.0,21660.0,21751.97,10722.6635
2022-08-19 18:00:00,21751.95,21777.0,21571.94,21616.13,9730.91141
2022-08-19 19:00:00,21616.13,21637.76,21261.96,21467.91,19666.98117
2022-08-19 20:00:00,21467.91,21605.71,21265.77,21534.39,15615.45552
2022-08-19 21:00:00,21532.95,21568.15,21390.01,21402.27,11796.56931
2022-08-19 22:00:00,21402.27,21494.21,21322.48,21332.45,11128.64297
2022-08-19 23:00:00,21332.45,21475.32,21280.0,21443.36,9031.87539
2022-08-20 00:00:00,21443.36,21660.73,21412.93,21530.52,11581.25
2022-08-20 01:00:00,21530.52,21582.54,21401.01,21463.41,7139.51811
2022-08-20 02:00:00,21463.41,21466.1,21320.29,21373.54,8106.52378
2022-08-20 03:00:00,21373.54,21459.57,21149.95,21329.66,11884.23702
2022-08-20 04:00:00,21329.65,21382.5,21163.97,21273.76,8690.28232
2022-08-20 05:00:00,21273.76,21311.41,20910.09,21078.77,9430.56501
2022-08-20 06:00:00,21081.62,21324.4,20915.89,20975.14,16011.73036
2022-08-20 07:00:00,20975.14,21049.99,20783.57,20834.39,14160.76676
2022-08-20 08:00:00,20834.39,21212.67,20792.92,20991.67,13247.29792
2022-08-20 09:00:00,20991.67,21103.67,20981.22,20996.12,6650.30542
2022-08-20 10:00:00,20995.02,21177.83,20990.01,21131.61,6903.15876
2022-08-20 11:00:00,21130.97,21177.67,21091.51,21140.34,6479.80268
2022-08-20 12:00:00,21139.97,21284.71,21077.56,21239.61,7333.24862
2022-08-20 13:00:00,21237.85,21252.82,21082.19,21128.68,8551.41616
2022-08-20 14:00:00,21127.77,21329.69,21122.01,21315.38,6721.61958
2022-08-20 15:00:00,21315.38,21370.0,21264.33,21307.25,7703.52055
2022-08-20 16:00:00,21307.99,21315.0,21175.43,21197.58,6638.71603
2022-08-20 17:00:00,21198.78,21232.19,21134.42,21208.8,6031.99168
