code,date,close,open,high,low,volume,amount
000922.SH,20180831,3970.5239,3980.8359,3995.2577,3947.4346,27643977.0,33194547.659
000922.SH,20180830,3990.2266,4009.645,4031.5608,3988.1299,17886685.0,21046880.162
000922.SH,20180829,4010.281,4026.9502,4035.5549,3999.8087,17930783.0,20596706.502
000922.SH,20180828,4034.7187,4040.0701,4047.1651,4024.2547,20750540.0,26044589.901
000922.SH,20180827,4039.0327,3966.027,4039.0327,3966.027,28348580.0,32804832.409
000922.SH,20180824,3956.0101,3937.1032,3977.2588,3919.8464,22159496.0,22630306.756
000922.SH,20180823,3945.7335,3933.7627,3961.712,3908.5725,17123807.0,20766650.463
000922.SH,20180822,3935.273,3958.4364,3958.4364,3927.581,13729849.0,16408036.956
000922.SH,20180821,3961.2622,3914.4915,3968.6465,3906.4052,21114589.0,26731360.134
000922.SH,20180820,3912.0039,3881.3693,3912.0039,3855.0909,21231176.0,24804478.506
000922.SH,20180817,3875.7509,3943.0967,3951.4479,3868.9317,18979241.0,22290793.61
000922.SH,20180816,3919.1037,3909.4982,3960.7399,3881.7399,21976154.0,24933820.645
000922.SH,20180815,3942.0715,4022.2203,4023.0558,3939.1398,20367939.0,23900988.009
000922.SH,20180814,4023.0395,4021.7604,4035.9736,4005.8703,18512148.0,21179208.065
000922.SH,20180813,4025.8968,4012.6189,4033.288,3971.6696,23976780.0,26091696.29
000922.SH,20180810,4049.1519,4057.8733,4076.1849,4025.1856,22463026.0,26006984.885
000922.SH,20180809,4059.2482,3972.8815,4073.0802,3966.1686,25100533.0,30675614.479
000922.SH,20180808,3988.7085,4035.2185,4036.7822,3984.9923,22583667.0,27322196.214
000922.SH,20180807,4043.7615,3953.6331,4043.7615,3935.259,27772156.0,31952518.611
000922.SH,20180806,3943.2896,3994.234,4011.7387,3928.5451,25033580.0,28589575.22
000922.SH,20180803,3995.2183,4042.5756,4057.3399,3995.0611,22301476.0,27537642.746
000922.SH,20180802,4046.94,4119.8976,4119.8976,3989.0917,31489169.0,37532688.369
000922.SH,20180801,4129.2559,4214.7017,4229.8285,4129.2559,28437551.0,32402304.337
000922.SH,20180731,4207.7815,4202.777,4219.7406,4179.5933,22272131.0,23761501.896
000922.SH,20180730,4204.8687,4197.7108,4238.001,4183.1522,24343666.0,26630988.23
000922.SH,20180727,4201.0621,4208.8513,4225.231,4195.8809,18151359.0,21660834.803
000922.SH,20180726,4216.1812,4247.1382,4261.4634,4206.7861,24598169.0,28023314.003
000922.SH,20180725,4244.1339,4254.7601,4255.7001,4228.7845,24977110.0,29294985.385
000922.SH,20180724,4250.7613,4202.8228,4260.7141,4202.8104,45319579.0,52282498.265
000922.SH,20180723,4195.7148,4139.107,4196.1271,4127.3701,39038756.0,41132778.572
000922.SH,20180720,4154.6853,4081.129,4164.8051,4055.0057,37823175.0,39320417.684
000922.SH,20180719,4081.9136,4093.9188,4112.063,4071.1968,20382167.0,22729187.363
000922.SH,20180718,4087.3551,4084.1509,4125.644,4084.1163,21228577.0,23857445.603
000922.SH,20180717,4079.3265,4092.4493,4093.2264,4049.0803,16902744.0,20615474.423
000922.SH,20180716,4107.222,4126.6359,4140.9848,4089.9238,20605523.0,24021933.894
