code,date,close,open,high,low,volume,amount
399324.SZ,20220923,8727.3113,8724.6561,8800.2485,8667.7548,11858055.0,16701019.1
399324.SZ,20220922,8749.4098,8855.1275,8856.7581,8745.5088,11088748.0,18087940.8
399324.SZ,20220921,8911.0197,8957.6926,8957.6926,8846.1157,12694433.0,17707605.2
399324.SZ,20220920,8953.2895,8999.6156,9021.0575,8907.0741,11686947.0,19474496.5
399324.SZ,20220919,8975.8938,8940.9213,9045.3258,8865.0974,12065406.0,19469304.8
399324.SZ,20220916,8959.3674,9153.3967,9158.2647,8959.3674,17592327.0,26116609.7
399324.SZ,20220915,9164.1033,9178.6016,9292.1562,9089.6277,16292518.0,26186709.9
399324.SZ,20220914,9144.6379,9126.2124,9216.7889,9108.6058,11049001.0,17218556.7
399324.SZ,20220913,9251.4217,9201.0052,9297.0302,9156.8598,14716743.0,25765980.1
399324.SZ,20220909,9163.3234,8994.9725,9175.2639,8979.0694,16588853.0,28672237.4
399324.SZ,20220908,8986.1366,8994.9839,9031.4824,8978.1215,12383516.0,19586876.2
399324.SZ,20220907,8977.3527,9016.1036,9016.1036,8952.6101,12548444.0,19892623.3
399324.SZ,20220906,9049.5798,8998.61,9052.985,8983.6621,14761723.0,23315758.6
399324.SZ,20220905,8994.0784,8998.9011,9010.4536,8900.1974,13240967.0,22618294.0
399324.SZ,20220902,9029.295,9134.7646,9138.6906,8986.3669,11572201.0,20274671.6
399324.SZ,20220901,9116.5638,9115.4366,9226.696,9086.535,15466496.0,27797728.1
399324.SZ,20220831,9132.0234,9025.8548,9203.8014,9016.4317,18700964.0,34245555.6
399324.SZ,20220830,9015.7224,9007.9767,9045.6059,8953.695,12444369.0,20209696.8
399324.SZ,20220829,9030.1085,9033.9249,9097.3602,8977.4942,14067162.0,25373387.1
399324.SZ,20220826,9099.1541,9112.0729,9167.0624,9063.1932,13790226.0,24146971.2
399324.SZ,20220825,9076.9924,8985.2717,9081.5501,8947.9638,14979100.0,23660198.2
399324.SZ,20220824,8983.7918,9076.1086,9097.1485,8979.0961,16104824.0,24190199.8
399324.SZ,20220823,9083.3911,9161.583,9166.0249,9066.5672,13379903.0,23232659.0
399324.SZ,20220822,9185.0849,9113.7888,9201.695,9103.5943,13792918.0,21048110.6
399324.SZ,20220819,9149.3138,9078.0992,9206.3582,9070.9669,15247630.0,20813282.8
399324.SZ,20220818,9099.7897,9211.8803,9211.8803,9072.7205,11854460.0,19749659.0
399324.SZ,20220817,9262.2566,9164.0841,9272.5681,9094.0443,15510549.0,21491469.4
399324.SZ,20220816,9157.6815,9157.4996,9186.1342,9132.5136,12289851.0,17990990.9
399324.SZ,20220815,9154.497,9222.5478,9271.7384,9126.7056,13831164.0,23207083.3
399324.SZ,20220812,9265.5012,9185.4322,9291.5927,9154.4913,11966991.0,18178657.2
399324.SZ,20220811,9192.8116,9054.9224,9193.229,9049.0014,13316224.0,20103659.2
399324.SZ,20220810,9006.0407,9080.2728,9103.8182,8966.0711,8529792.0,15743874.9
399324.SZ,20220809,9095.3422,9110.1349,9125.0639,9079.5296,9302672.0,14222408.2
399324.SZ,20220808,9128.6998,9148.2905,9208.4407,9111.5126,9660192.0,15484555.9
399324.SZ,20220805,9181.1384,9078.4259,9181.543,9035.436,10350436.0,16951713.4
399324.SZ,20220804,9093.2032,9031.0195,9094.251,8994.0049,8855199.0,14665526.0
399324.SZ,20220803,8997.9577,9097.6265,9200.0411,8984.6831,12321039.0,19635269.5
399324.SZ,20220802,9099.6423,9221.6666,9221.6666,9032.3247,16390815.0,25194067.3
399324.SZ,20220801,9312.4079,9339.3572,9362.6126,9263.4764,11274928.0,20508326.2
399324.SZ,20220729,9352.5528,9498.1613,9526.7341,9326.5131,13743496.0,26734520.3
399324.SZ,20220728,9511.5156,9565.5113,9620.6248,9501.1954,13341863.0,18026229.0
