code,date,close,open,high,low,volume,amount
399998.SZ,20220923,2643.5036,2692.6749,2721.3152,2638.9066,14800604.0,14678311.8
399998.SZ,20220922,2708.8404,2614.8559,2716.7961,2614.158,15981011.0,16569181.1
399998.SZ,20220921,2632.0167,2592.519,2647.1145,2588.2211,12363592.0,11472198.4
399998.SZ,20220920,2605.2374,2598.4997,2644.6894,2559.4223,13194723.0,11433929.7
399998.SZ,20220919,2574.0354,2538.166,2613.6877,2538.166,14583521.0,12875129.5
399998.SZ,20220916,2550.0391,2647.8884,2686.8088,2547.5442,19667885.0,19057276.8
399998.SZ,20220915,2679.3084,2714.0132,2762.076,2627.5968,19606685.0,20115531.9
399998.SZ,20220914,2675.4741,2660.9289,2722.5223,2659.5004,11915467.0,11620440.5
399998.SZ,20220913,2709.4371,2758.1272,2760.6065,2685.4805,12852910.0,11586118.7
399998.SZ,20220909,2748.9598,2732.595,2765.1097,2689.0025,14214551.0,13978698.9
399998.SZ,20220908,2727.4353,2732.9541,2759.4995,2682.9496,14811510.0,14447331.6
399998.SZ,20220907,2765.259,2741.3909,2791.1871,2732.3149,16030890.0,15125753.1
399998.SZ,20220906,2772.5812,2720.5131,2783.6528,2697.0589,19328418.0,18854118.9
399998.SZ,20220905,2716.5344,2614.5413,2727.8341,2598.8958,21793020.0,20318468.6
399998.SZ,20220902,2581.4809,2600.5506,2628.1568,2564.7869,12967165.0,12638263.0
399998.SZ,20220901,2609.8827,2552.4862,2671.7015,2540.7055,18326825.0,17767346.8
399998.SZ,20220831,2549.8668,2606.6583,2625.3238,2544.0805,20088034.0,17400060.3
399998.SZ,20220830,2616.3381,2737.8594,2737.8594,2592.2103,19732335.0,21763409.9
399998.SZ,20220829,2758.515,2667.488,2762.2286,2621.6651,20904568.0,23019773.8
399998.SZ,20220826,2701.4553,2741.7187,2752.7346,2686.7804,22325486.0,24322565.8
399998.SZ,20220825,2766.3975,2641.88,2769.7494,2629.3548,27590770.0,30048406.8
399998.SZ,20220824,2627.8564,2662.1483,2684.1675,2617.4592,21976646.0,22007780.7
399998.SZ,20220823,2648.5495,2581.4047,2672.4603,2557.4941,22725855.0,21335035.8
399998.SZ,20220822,2586.9331,2536.0501,2594.4772,2535.0329,18311511.0,18752307.1
399998.SZ,20220819,2523.9305,2487.3532,2547.3503,2477.5282,16421408.0,15265468.3
399998.SZ,20220818,2475.7533,2504.5029,2532.5793,2469.3711,11767460.0,10831095.0
399998.SZ,20220817,2508.8141,2519.0018,2546.6737,2496.849,14007565.0,12824574.2
399998.SZ,20220816,2513.2914,2500.7672,2527.7443,2470.5563,15699473.0,14529609.6
399998.SZ,20220815,2507.9792,2464.0716,2534.2547,2464.0716,17589314.0,15707284.9
399998.SZ,20220812,2462.1166,2410.7631,2474.1935,2410.7631,14615329.0,13569375.2
399998.SZ,20220811,2401.6576,2400.5123,2415.5244,2371.7448,9935011.0,8875612.9
399998.SZ,20220810,2384.7618,2405.9498,2437.2681,2372.5059,12957919.0,11706071.1
399998.SZ,20220809,2419.8248,2340.2766,2428.9481,2335.8251,15922078.0,15592063.9
399998.SZ,20220808,2340.3813,2254.2583,2345.347,2241.9285,10854922.0,11250505.4
399998.SZ,20220805,2267.1493,2284.8242,2292.7016,2222.4203,9668049.0,10115320.6
399998.SZ,20220804,2281.4168,2300.9888,2310.2851,2247.5131,10032420.0,9611082.8
399998.SZ,20220803,2300.0463,2330.3772,2356.6421,2297.1255,10639811.0,10581492.4
399998.SZ,20220802,2324.6534,2362.1239,2362.1239,2292.1902,15249386.0,13144386.6
399998.SZ,20220801,2399.3262,2356.1474,2408.9104,2339.9715,12402769.0,12521722.1
399998.SZ,20220729,2356.1038,2418.9855,2440.6503,2355.1471,14242692.0,13474158.4
399998.SZ,20220728,2423.288,2403.0716,2427.5119,2378.9909,14045566.0,13920709.7
399998.SZ,20220727,2375.6101,2357.9281,2390.4202,2346.7575,9929931.0,10027648.6
399998.SZ,20220726,2365.4914,2322.9818,2380.2371,2310.5994,9691133.0,8989540.8
399998.SZ,20220725,2327.2141,2317.8295,2358.2911,2313.7493,10723739.0,9943445.8
399998.SZ,20220722,2308.7288,2323.738,2344.2058,2298.3257,10971369.0,10042153.1
399998.SZ,20220721,2330.2664,2406.7977,2406.7977,2327.8346,14910397.0,14508489.5
399998.SZ,20220720,2415.0926,2424.6867,2441.2022,2406.767,12249191.0,11216206.0
399998.SZ,20220719,2427.7423,2436.886,2437.8219,2399.722,15317811.0,13529630.9
399998.SZ,20220718,2427.709,2349.1554,2431.059,2349.1554,21188175.0,16248105.6
399998.SZ,20220715,2323.9131,2344.4311,2423.1109,2323.9131,16970614.0,16078711.2
399998.SZ,20220714,2347.6218,2353.4189,2374.3279,2321.8548,13402026.0,11653898.4
399998.SZ,20220713,2356.2937,2339.078,2358.821,2317.1411,12315610.0,10660451.7
399998.SZ,20220712,2373.0741,2366.0406,2395.7125,2352.4226,14130414.0,12355986.6
399998.SZ,20220711,2361.7381,2402.292,2402.292,2338.2675,16849840.0,14210297.2
399998.SZ,20220708,2443.4672,2510.0049,2517.851,2442.4903,16225449.0,14149470.4
399998.SZ,20220707,2492.0133,2458.0311,2504.3184,2416.1237,17765258.0,15657917.4
399998.SZ,20220706,2466.0894,2563.5689,2563.5689,2442.3554,27467497.0,21935643.9
399998.SZ,20220705,2628.4427,2553.0594,2634.6032,2549.487,32926286.0,23930011.0
399998.SZ,20220704,2527.7693,2533.5944,2577.1965,2507.2128,14474799.0,15064380.6
399998.SZ,20220701,2541.1009,2515.6448,2558.6537,2446.6216,14757536.0,16091841.4
399998.SZ,20220630,2534.9528,2522.6477,2557.7958,2513.9165,14045946.0,14379964.8
399998.SZ,20220629,2538.8663,2565.5208,2614.4696,2538.8663,21721787.0,20374879.5
399998.SZ,20220628,2575.9914,2522.2588,2575.9914,2521.2495,19924565.0,21426843.4
399998.SZ,20220627,2516.5115,2415.2488,2519.215,2407.4215,20409650.0,21804382.9
399998.SZ,20220624,2406.5373,2412.9831,2452.8309,2383.3604,16433784.0,16211074.4
399998.SZ,20220623,2426.8979,2371.4594,2428.364,2336.293,17486425.0,17022636.0
399998.SZ,20220622,2372.7885,2437.8491,2449.8712,2365.7546,17821781.0,16844697.4
399998.SZ,20220621,2421.0788,2414.038,2456.0067,2396.5496,18184811.0,17806639.3
399998.SZ,20220620,2420.1307,2499.921,2500.4109,2407.1948,25339944.0,26681177.6
399998.SZ,20220617,2564.9036,2551.0645,2583.987,2523.6812,20282314.0,20046122.4
399998.SZ,20220616,2575.4231,2676.7538,2702.436,2545.9299,27817412.0,28312804.9
399998.SZ,20220615,2685.0062,2745.3564,2776.0869,2684.9781,24778017.0,23417544.2
399998.SZ,20220614,2760.6437,2649.8015,2761.5902,2648.5134,26877131.0,24694446.3
399998.SZ,20220613,2693.0672,2692.4043,2735.001,2636.2786,25831519.0,24334457.3
399998.SZ,20220610,2723.6248,2643.9133,2743.9429,2634.8225,28739164.0,25419474.6
399998.SZ,20220609,2677.0317,2660.1679,2744.817,2632.736,29640738.0,29193035.0
399998.SZ,20220608,2671.4231,2559.4755,2671.5649,2558.9731,28095014.0,27237439.0
399998.SZ,20220607,2538.4848,2523.9088,2584.3235,2492.7403,18956580.0,17321840.7
399998.SZ,20220606,2538.8463,2467.9212,2545.9117,2467.2297,18094432.0,18588702.3
399998.SZ,20220602,2455.9139,2506.6789,2506.6789,2444.3912,14763749.0,15106130.2
399998.SZ,20220601,2538.2607,2476.8447,2541.2112,2464.3918,15743586.0,15954760.4
399998.SZ,20220531,2492.9532,2503.863,2512.1354,2454.6909,15642707.0,16107145.5
399998.SZ,20220530,2511.5044,2545.1557,2548.4467,2470.7847,17142169.0,16921866.7
399998.SZ,20220527,2535.1552,2516.4172,2568.8041,2487.2043,23075407.0,22182119.6
399998.SZ,20220526,2504.603,2435.1829,2524.2339,2415.7033,22475651.0,21722599.1
399998.SZ,20220525,2426.2132,2378.1432,2440.7468,2352.295,19170020.0,17002759.9
399998.SZ,20220524,2376.9641,2386.8571,2468.7118,2376.9641,23530190.0,21102369.2
399998.SZ,20220523,2395.1362,2381.524,2439.7322,2365.2915,19769911.0,18665565.8
399998.SZ,20220520,2372.1689,2271.7007,2378.7264,2271.7007,20954022.0,19773034.1
399998.SZ,20220519,2269.2117,2217.1759,2274.2993,2194.2759,14258003.0,12723994.5
399998.SZ,20220518,2263.5701,2286.7707,2299.8292,2251.3602,14613963.0,13731526.6
399998.SZ,20220517,2299.9688,2275.5959,2307.9014,2250.5453,17145241.0,16678287.2
399998.SZ,20220516,2269.7216,2225.2649,2273.5409,2205.9527,18724450.0,16890019.1
399998.SZ,20220513,2204.5217,2141.5178,2209.8173,2136.14,14134110.0,13151577.6
399998.SZ,20220512,2143.1409,2195.5518,2217.3347,2121.6718,16281507.0,14361140.0
399998.SZ,20220511,2186.9715,2122.1572,2200.941,2120.8216,18801557.0,16679565.0
399998.SZ,20220510,2129.2214,2134.3304,2134.3304,2074.6367,18195091.0,16311716.6
