code,date,close,open,high,low,volume,amount
399967.SZ,20220923,12050.8124,12107.9063,12435.1411,11971.1997,8796918.0,20802117.7
399967.SZ,20220922,12127.2131,11809.1671,12213.9036,11790.3637,9617459.0,22495561.6
399967.SZ,20220921,11859.9721,11901.035,11919.6466,11670.0638,7529531.0,16150777.4
399967.SZ,20220920,11926.6316,11992.4408,12105.0692,11881.965,7013791.0,15398149.8
399967.SZ,20220919,11917.5136,12119.1766,12207.4331,11837.0429,9015192.0,19065127.1
399967.SZ,20220916,12140.4111,12122.6971,12455.8531,12117.884,10534372.0,23345382.7
399967.SZ,20220915,12149.1012,12557.743,12557.743,12007.924,11473707.0,23719794.4
399967.SZ,20220914,12535.4701,12267.9162,12598.9808,12248.5361,10082160.0,22858694.1
399967.SZ,20220913,12410.6019,12329.687,12428.8617,12259.7493,9505219.0,19970785.3
399967.SZ,20220909,12311.3817,12385.4481,12486.9497,12223.5277,8909102.0,19412506.1
399967.SZ,20220908,12389.7643,12231.9519,12455.8675,12209.5904,9674656.0,22294486.0
399967.SZ,20220907,12239.43,12096.0861,12264.0247,12074.4479,8734994.0,19397677.8
399967.SZ,20220906,12151.3803,11869.7715,12166.0417,11834.356,10995026.0,23269094.8
399967.SZ,20220905,11829.9798,11785.0415,11944.4274,11722.5274,9029585.0,17868531.5
399967.SZ,20220902,11796.345,11624.2029,11884.3579,11594.903,9616893.0,18590413.1
399967.SZ,20220901,11623.6178,11650.9367,11782.4677,11590.938,6862374.0,14697368.0
399967.SZ,20220831,11653.4169,11960.755,12043.4135,11596.098,8744094.0,18659395.5
399967.SZ,20220830,11981.8908,12068.8983,12111.6788,11948.8871,8104054.0,17381648.6
399967.SZ,20220829,12075.8965,11697.183,12103.261,11651.1255,8933540.0,21110033.9
399967.SZ,20220826,11831.0423,12072.0345,12103.5705,11798.8157,8593913.0,18826883.2
399967.SZ,20220825,12053.8998,12047.3738,12193.0652,11931.4686,9512028.0,20603157.9
399967.SZ,20220824,12039.606,12536.1176,12540.7268,12018.8304,11869549.0,25374919.0
399967.SZ,20220823,12525.3622,12581.1759,12623.5164,12465.176,8961920.0,20428210.9
399967.SZ,20220822,12616.2357,12396.3279,12628.7445,12342.9133,10672066.0,23869716.5
399967.SZ,20220819,12438.6291,12698.7588,12804.2823,12428.444,10965279.0,24922196.7
399967.SZ,20220818,12696.559,12596.9188,12712.112,12565.2345,9721400.0,20836918.0
399967.SZ,20220817,12605.7949,12629.2744,12662.9267,12469.4575,9969311.0,20994063.3
399967.SZ,20220816,12655.2766,12601.4613,12792.6271,12576.1914,9348207.0,20560211.1
399967.SZ,20220815,12623.6114,12569.3133,12655.2762,12550.2118,9077584.0,20588454.8
399967.SZ,20220812,12612.2107,12852.905,12852.905,12607.6848,12313670.0,27884532.3
399967.SZ,20220811,12897.4827,12875.7402,12906.1163,12741.299,13826997.0,29510440.1
399967.SZ,20220810,12866.981,12786.8179,13006.8316,12770.433,13477801.0,31536916.7
399967.SZ,20220809,12843.0307,12622.1886,12892.6514,12502.9659,13491305.0,32441161.9
399967.SZ,20220808,12647.9288,12349.4817,12659.2773,12313.5002,12915942.0,30287601.0
399967.SZ,20220805,12369.1836,12276.08,12392.8273,12148.1301,14139899.0,30062280.7
399967.SZ,20220804,12306.227,12520.245,12523.7872,12231.9311,16529162.0,35446937.1
399967.SZ,20220803,12506.0378,12012.458,12687.9687,11969.9248,25993000.0,54348841.1
399967.SZ,20220802,12073.9921,12356.4884,12444.4758,11993.4215,19050375.0,38137051.7
399967.SZ,20220801,12227.8895,12252.0855,12329.8437,12152.8856,9340921.0,21426333.7
399967.SZ,20220729,12209.3889,12441.2523,12441.2523,12136.421,9227155.0,22683511.8
399967.SZ,20220728,12463.361,12332.3551,12472.3715,12264.8881,10092394.0,23469288.4
399967.SZ,20220727,12308.0722,12185.5351,12420.2676,12166.6239,9084213.0,21763227.3
399967.SZ,20220726,12188.5384,12106.6008,12238.7606,12014.5644,7038919.0,17659753.9
399967.SZ,20220725,12115.4187,12362.2914,12472.8562,12067.1086,8714037.0,21199205.6
399967.SZ,20220722,12282.7572,12289.2338,12429.4469,12135.7297,9121568.0,21283757.0
399967.SZ,20220721,12294.4277,12463.7924,12463.7924,12249.4796,12013862.0,27760720.7
399967.SZ,20220720,12487.5814,12042.2049,12489.6676,12037.2888,16193365.0,34947946.3
399967.SZ,20220719,12009.615,11930.7833,12116.2391,11873.9208,9145975.0,21469243.6
399967.SZ,20220718,11948.3586,11940.5298,11964.4089,11718.7494,7619384.0,19662564.9
399967.SZ,20220715,11933.9224,12077.6864,12218.9791,11931.5629,9231707.0,20154247.5
399967.SZ,20220714,12109.0963,11825.2267,12193.6394,11815.9411,10002604.0,22080446.9
399967.SZ,20220713,11835.1828,11907.5793,11947.6304,11730.0245,7297934.0,18295518.3
399967.SZ,20220712,11911.0053,12093.785,12302.9088,11900.8937,8241538.0,22375390.5
399967.SZ,20220711,12106.1251,12186.9824,12186.9824,11931.9271,8340300.0,20911809.4
399967.SZ,20220708,12211.2146,12374.9371,12383.5867,12189.3326,8676182.0,22734152.4
399967.SZ,20220707,12385.1022,12154.5666,12451.6391,12146.5276,10581606.0,26869753.0
399967.SZ,20220706,12149.7616,12231.2047,12364.1061,12010.2913,9120507.0,22659837.9
399967.SZ,20220705,12279.8391,12351.6035,12354.7644,12075.8752,9655228.0,23449723.8
399967.SZ,20220704,12366.5135,12028.1867,12372.3186,11848.5656,11521951.0,29870707.4
399967.SZ,20220701,11970.8677,12025.9148,12192.8973,11920.4578,8854720.0,21803268.2
399967.SZ,20220630,12010.171,11947.187,12087.7657,11907.8475,8630101.0,21016991.3
399967.SZ,20220629,11942.1617,12233.7826,12278.4356,11927.1369,10682961.0,23852269.6
399967.SZ,20220628,12285.3835,12041.7334,12303.3507,12032.4391,11964927.0,28809853.9
399967.SZ,20220627,12044.3873,12111.0953,12115.1115,11936.4417,10494679.0,26478873.9
399967.SZ,20220624,12036.3904,11818.6966,12169.5795,11818.6966,14557423.0,36594767.6
399967.SZ,20220623,11723.9087,11150.5535,11724.0708,11136.16,12953710.0,30902719.9
399967.SZ,20220622,11147.414,11366.5307,11416.7469,11137.818,8541591.0,18289109.2
399967.SZ,20220621,11353.4586,11590.7545,11590.7545,11258.1808,9305609.0,20759887.5
399967.SZ,20220620,11589.3605,11470.7365,11625.833,11451.6038,11038424.0,25908343.0
399967.SZ,20220617,11453.1587,11348.7461,11469.0887,11226.0851,10474486.0,22501557.2
399967.SZ,20220616,11407.972,11361.8605,11548.9219,11347.8323,9828437.0,21432187.2
399967.SZ,20220615,11363.6534,11346.3265,11550.576,11344.695,14279641.0,27264325.5
399967.SZ,20220614,11326.9966,11395.8059,11400.5082,11044.1684,13441595.0,26392125.8
399967.SZ,20220613,11541.1217,11498.1659,11606.3076,11357.9858,12470249.0,28823741.3
399967.SZ,20220610,11481.8717,11031.1345,11491.4065,11021.9939,9036343.0,27072556.2
399967.SZ,20220609,11060.6102,11335.5497,11335.5497,11003.8949,7203668.0,19137230.1
399967.SZ,20220608,11346.3961,11449.4052,11513.9877,11165.0111,8515444.0,21920761.6
399967.SZ,20220607,11473.863,11495.6035,11573.3991,11352.7819,8326551.0,21722949.1
399967.SZ,20220606,11514.3218,11327.68,11540.1945,11258.7908,9173812.0,24362469.0
399967.SZ,20220602,11327.4838,11058.4661,11340.4384,11051.2316,7897731.0,19662626.9
399967.SZ,20220601,11106.1521,10984.3923,11148.8455,10968.9863,9185764.0,21637758.5
399967.SZ,20220531,11020.1788,10940.4987,11036.7252,10798.6742,8506159.0,20065696.8
399967.SZ,20220530,10978.9465,10895.006,10981.9559,10775.3916,9150455.0,18918423.7
399967.SZ,20220527,10856.1242,10953.6497,11036.6217,10772.6373,8673093.0,19183352.6
399967.SZ,20220526,10868.069,10541.1003,11010.4981,10526.7429,12917757.0,27796281.3
399967.SZ,20220525,10549.7292,10396.9654,10555.6063,10367.0288,6079368.0,13589500.0
399967.SZ,20220524,10424.2883,10803.8282,11026.0943,10424.0791,9227136.0,20747908.6
399967.SZ,20220523,10808.8046,10793.9776,10823.9654,10626.2609,6229376.0,14844950.6
399967.SZ,20220520,10824.0509,10881.1833,10951.3645,10688.2593,6072868.0,15404813.5
399967.SZ,20220519,10852.6492,10652.5252,10852.6492,10599.1851,5712521.0,14072149.4
