code,date,close,open,high,low,volume,amount
000905.SH,20220923,5889.6019,5961.0615,5986.8209,5839.9316,100609437.0,104706616.405
000905.SH,20220922,5965.8854,5938.0989,6015.1192,5931.7309,99867602.0,102285806.655
000905.SH,20220921,5978.581,5943.0935,5998.7001,5876.5156,103463644.0,100001264.103
000905.SH,20220920,5958.2922,5949.3355,6002.792,5940.5814,88813000.0,96795084.956
000905.SH,20220919,5913.1493,5947.8566,5967.6548,5880.4941,104025412.0,104609796.776
000905.SH,20220916,5954.5037,6091.4195,6102.5416,5954.5037,137172115.0,131508079.988
000905.SH,20220915,6107.7964,6280.4462,6282.6932,6053.7988,141643500.0,148202355.025
000905.SH,20220914,6249.963,6214.9119,6273.6335,6206.9248,109121160.0,114644793.269
000905.SH,20220913,6300.422,6334.8609,6343.7743,6291.4445,118106314.0,123861798.297
000905.SH,20220909,6316.9724,6275.8978,6321.8229,6254.2611,121389228.0,124658337.639
000905.SH,20220908,6272.5752,6299.9068,6309.8969,6266.5175,116164269.0,120970235.492
000905.SH,20220907,6301.5644,6269.9911,6314.1182,6256.6131,120160292.0,130718396.247
000905.SH,20220906,6291.5707,6198.4868,6292.5319,6187.9517,129846040.0,135891977.558
000905.SH,20220905,6182.6465,6147.7062,6184.8042,6122.619,117479244.0,119757999.919
000905.SH,20220902,6149.4273,6135.2957,6176.1706,6117.7266,106564384.0,114216217.368
000905.SH,20220901,6126.7685,6153.287,6207.244,6118.5774,118575054.0,124670857.677
000905.SH,20220831,6155.7455,6265.5934,6280.1856,6132.2326,147275408.0,153776542.737
000905.SH,20220830,6285.9273,6309.5791,6319.1701,6248.1377,132109200.0,136583215.312
000905.SH,20220829,6310.402,6213.4016,6310.9932,6205.1266,125268849.0,132966408.29
000905.SH,20220826,6298.3739,6331.079,6381.4834,6286.5227,130405837.0,145604215.469
000905.SH,20220825,6322.6961,6303.1445,6327.0917,6225.6756,141946367.0,152348524.289
000905.SH,20220824,6284.5769,6470.6864,6472.6832,6277.9892,158103872.0,171922926.766
000905.SH,20220823,6466.4045,6460.1716,6475.8227,6436.081,133676377.0,152812386.393
000905.SH,20220822,6472.6799,6381.3397,6472.7936,6363.218,133735500.0,155429477.947
000905.SH,20220819,6391.7159,6468.8233,6477.3137,6390.9328,142590851.0,161777617.604
000905.SH,20220818,6468.8056,6481.3704,6483.6928,6448.7455,130451759.0,151581053.115
000905.SH,20220817,6493.5047,6473.2526,6501.362,6428.9652,146220319.0,165336992.378
000905.SH,20220816,6465.1866,6446.7604,6492.5396,6440.3764,135841495.0,150950901.282
000905.SH,20220815,6442.8093,6405.7169,6462.5378,6394.2182,133627482.0,151481917.268
000905.SH,20220812,6420.853,6425.1102,6463.0667,6416.2908,140399917.0,158383471.763
000905.SH,20220811,6439.3586,6349.4961,6439.3586,6341.7215,142038284.0,168399100.708
000905.SH,20220810,6322.0558,6331.4129,6362.2914,6298.8613,118899928.0,153411737.86
000905.SH,20220809,6341.4806,6314.1043,6344.84,6290.8724,116966653.0,148682025.632
000905.SH,20220808,6323.0746,6266.5673,6324.3401,6249.6163,116132934.0,149909676.464
000905.SH,20220805,6270.5113,6175.4805,6274.2729,6163.5051,124284448.0,150450721.916
000905.SH,20220804,6158.7346,6160.4864,6177.6166,6080.101,113646381.0,137805652.802
