code,date,close,open,high,low,volume,amount
399006.SZ,20220923,2303.9052,2320.9182,2336.289,2275.292,68529871.0,117946667.9
399006.SZ,20220922,2319.4192,2309.2865,2348.7625,2302.6432,62689387.0,112831440.2
399006.SZ,20220921,2331.5164,2353.7766,2358.9639,2322.9509,63645768.0,111966461.5
399006.SZ,20220920,2366.904,2366.7867,2397.9246,2351.8931,61600322.0,117734307.1
399006.SZ,20220919,2350.3762,2360.5798,2389.4765,2339.0338,70238823.0,125468681.9
399006.SZ,20220916,2367.3977,2418.4381,2430.2301,2366.8946,81543818.0,147029763.3
399006.SZ,20220915,2424.1924,2512.453,2515.2073,2404.4358,92202707.0,170955153.6
399006.SZ,20220914,2503.8245,2512.2834,2527.2791,2486.0822,70540152.0,132842421.9
399006.SZ,20220913,2550.6256,2566.8383,2569.113,2537.2774,70149153.0,129128170.1
399006.SZ,20220909,2548.2159,2535.7448,2551.0545,2525.7692,70056668.0,131578132.2
399006.SZ,20220908,2523.006,2570.0456,2572.1171,2521.5419,80873955.0,145408875.8
399006.SZ,20220907,2570.8014,2525.1546,2584.8526,2522.375,85303218.0,160634492.5
399006.SZ,20220906,2540.6353,2541.1221,2542.9807,2493.4285,81661952.0,155484960.5
399006.SZ,20220905,2538.2039,2528.7071,2553.1073,2519.894,79959834.0,139557631.6
399006.SZ,20220902,2533.0231,2548.1824,2552.3414,2517.4559,85760127.0,143420369.1
399006.SZ,20220901,2533.8543,2561.9347,2584.6171,2531.807,85700860.0,145902151.3
399006.SZ,20220831,2570.4149,2596.1564,2611.6463,2550.9936,106284307.0,187065518.1
399006.SZ,20220830,2612.1417,2630.1311,2632.1282,2594.7842,94137480.0,160826052.0
399006.SZ,20220829,2630.5054,2599.8403,2641.1695,2595.7063,89830568.0,158057414.5
399006.SZ,20220826,2640.291,2666.2143,2677.7274,2634.4316,95427328.0,171989219.3
399006.SZ,20220825,2667.3009,2688.8616,2694.1588,2634.8513,106746535.0,188096113.7
399006.SZ,20220824,2679.0479,2800.3776,2803.4299,2675.8802,126146501.0,227271353.0
399006.SZ,20220823,2780.3064,2775.2143,2802.0501,2764.5222,105766485.0,192548001.1
399006.SZ,20220822,2779.0155,2730.4234,2782.6672,2715.1597,112627374.0,200912681.3
399006.SZ,20220819,2734.2181,2779.9913,2780.0973,2733.049,131774370.0,232922803.9
399006.SZ,20220818,2775.8209,2771.1538,2797.4852,2769.2104,120927253.0,224221568.0
399006.SZ,20220817,2777.9096,2739.4803,2783.9294,2719.2217,119572889.0,225308253.3
399006.SZ,20220816,2731.3932,2725.9267,2759.5164,2718.1719,113334106.0,214310017.5
399006.SZ,20220815,2718.593,2688.6604,2734.3271,2686.8224,109348710.0,202846555.8
399006.SZ,20220812,2690.8312,2712.693,2717.6772,2689.6676,123906982.0,209117709.3
399006.SZ,20220811,2721.4925,2672.1763,2724.8457,2650.8767,131758742.0,237892989.7
399006.SZ,20220810,2658.5847,2688.1326,2692.2489,2645.5471,112191126.0,209646311.0
399006.SZ,20220809,2694.8004,2668.9179,2698.4558,2658.685,111774868.0,211686533.3
399006.SZ,20220808,2675.6859,2668.9865,2679.6823,2647.2519,109973890.0,207257977.9
399006.SZ,20220805,2683.602,2648.0549,2686.2296,2637.2353,121736684.0,220616303.8
