code,date,close,open,high,low,volume,amount
000993.SH,20220923,4821.916,4929.9273,4943.4155,4788.4496,37394835.0,67700982.728
000993.SH,20220922,4933.1043,4909.6602,4994.8517,4906.4418,33430268.0,61688586.439
000993.SH,20220921,4946.6689,4960.2162,4975.0111,4870.9654,37282213.0,65238650.397
000993.SH,20220920,4983.0046,5008.9317,5026.4891,4956.1043,33878707.0,63913091.29
000993.SH,20220919,4984.0737,5072.0203,5089.3956,4960.0174,43533126.0,77365934.96
000993.SH,20220916,5079.7637,5121.0394,5191.4269,5079.7637,48685315.0,89275075.673
000993.SH,20220915,5131.1219,5269.0065,5272.2197,5077.2209,52130598.0,91670063.299
000993.SH,20220914,5254.4779,5205.8225,5264.3592,5194.3524,37709206.0,69027286.518
000993.SH,20220913,5288.0102,5291.4399,5366.83,5280.8563,37251188.0,67141314.457
000993.SH,20220909,5266.7829,5262.0705,5271.9409,5214.3483,36049179.0,64644055.555
000993.SH,20220908,5257.3766,5324.5304,5331.5845,5255.7339,42700550.0,76834700.541
000993.SH,20220907,5327.0916,5261.6555,5357.7942,5255.7097,50214233.0,95953925.981
000993.SH,20220906,5271.9125,5244.5165,5272.482,5206.2826,45662495.0,79306977.264
000993.SH,20220905,5234.1675,5262.9919,5264.1851,5182.0167,45871510.0,78959034.321
000993.SH,20220902,5276.1056,5200.4331,5301.7806,5192.3291,48214474.0,81157488.236
000993.SH,20220901,5190.1606,5242.9277,5293.3477,5181.244,46458144.0,80669627.777
000993.SH,20220831,5234.8885,5302.4695,5335.8605,5205.689,55509731.0,93627439.823
000993.SH,20220830,5321.2414,5321.6754,5371.5562,5286.4037,47176784.0,83151424.506
000993.SH,20220829,5326.6163,5253.3993,5353.0621,5244.1254,46004249.0,81605609.967
000993.SH,20220826,5333.3516,5412.0602,5436.7454,5325.1153,53160128.0,93520886.252
000993.SH,20220825,5381.4647,5435.1571,5449.8957,5320.3164,60108531.0,102991972.7
000993.SH,20220824,5419.9458,5667.1333,5667.4592,5413.001,80811906.0,140087077.0
000993.SH,20220823,5666.7935,5673.2491,5708.5573,5650.3322,68237173.0,117286882.86
000993.SH,20220822,5683.7768,5638.003,5720.472,5589.0385,68433620.0,120558357.717
000993.SH,20220819,5655.1893,5781.52,5851.4128,5655.1893,91008092.0,158789142.506
000993.SH,20220818,5782.6016,5721.794,5795.3232,5684.5198,87696019.0,157982442.938
000993.SH,20220817,5738.1341,5683.9385,5748.6527,5644.7611,79182288.0,140625105.872
000993.SH,20220816,5683.2476,5706.5227,5744.714,5666.8329,73807057.0,134337618.125
000993.SH,20220815,5713.5959,5726.3777,5741.9854,5683.7708,78551353.0,138501267.931
000993.SH,20220812,5742.6347,5825.6749,5844.5508,5742.4292,89623516.0,163519592.96
000993.SH,20220811,5835.9707,5728.4352,5843.9853,5718.9231,93309716.0,176994775.02
000993.SH,20220810,5695.0203,5683.1695,5761.5082,5667.4163,73429837.0,151606405.201
000993.SH,20220809,5732.1088,5694.7791,5733.1384,5616.0817,74900317.0,154818829.327
000993.SH,20220808,5718.7731,5724.2658,5732.8159,5653.4904,81678112.0,178938755.024
000993.SH,20220805,5698.3867,5475.353,5698.7117,5459.7017,94976789.0,197677987.96
000993.SH,20220804,5457.3639,5421.5207,5485.5189,5399.2944,66753187.0,128693587.559
000993.SH,20220803,5381.4005,5338.0111,5506.2239,5338.0111,82900866.0,159549078.138
000993.SH,20220802,5320.563,5388.8227,5396.9937,5265.2362,82201270.0,140957590.956
000993.SH,20220801,5453.6858,5343.6614,5456.9929,5281.2972,62474767.0,118310090.075
000993.SH,20220729,5357.0744,5433.2851,5434.7488,5350.4928,61647048.0,113414409.678
000993.SH,20220728,5439.3596,5348.6205,5474.6785,5348.6205,74887405.0,130226420.763
