code,date,close,open,high,low,volume,amount
399997.SZ,20220923,14753.8444,14683.2208,14891.8185,14649.3737,887240.0,12360601.0
399997.SZ,20220922,14708.5059,14807.9343,14888.0705,14667.2392,898917.0,11784058.3
399997.SZ,20220921,14912.5015,15060.5802,15158.4403,14881.242,889106.0,11050425.4
399997.SZ,20220920,15103.5913,14946.4155,15125.6244,14770.8354,1303804.0,12905297.2
399997.SZ,20220919,14876.895,14693.3652,15121.9558,14598.7196,1281727.0,14025182.2
399997.SZ,20220916,14714.4411,15011.1609,15105.4702,14714.4411,1194240.0,13898405.7
399997.SZ,20220915,15074.2941,14987.1652,15233.2439,14966.7262,1253818.0,15519346.3
399997.SZ,20220914,14968.4914,14939.9189,15057.6936,14905.4673,950295.0,10697935.0
399997.SZ,20220913,15132.1432,15046.6021,15236.3488,14922.1884,1358200.0,17515245.9
399997.SZ,20220909,14932.6226,14787.7447,14981.6424,14665.7795,1070627.0,15378556.2
399997.SZ,20220908,14731.0939,14726.6432,14952.9701,14722.302,1077372.0,12504723.5
399997.SZ,20220907,14677.4636,14835.4232,14835.4232,14608.5835,1131576.0,14416574.0
399997.SZ,20220906,14894.2803,14830.1177,14938.5079,14724.3379,1151396.0,13329336.6
399997.SZ,20220905,14804.765,14973.9466,14975.4804,14670.4862,1579494.0,19679728.6
399997.SZ,20220902,15126.9791,15426.8469,15436.4263,15024.1017,1263947.0,14526552.2
399997.SZ,20220901,15388.3894,15566.5781,15616.2689,15375.5395,1464777.0,17020092.3
399997.SZ,20220831,15673.3639,15262.4987,15778.3302,15252.3451,1868119.0,26064478.4
399997.SZ,20220830,15326.6827,15410.0255,15410.0255,15144.1795,1493177.0,15441655.2
399997.SZ,20220829,15412.6484,15627.8792,15845.206,15375.7748,1712563.0,19376953.7
399997.SZ,20220826,15650.9559,15605.9066,15965.8545,15580.5512,2130537.0,23343646.7
399997.SZ,20220825,15479.6119,15155.8251,15479.6119,15136.8614,1665390.0,17196182.8
399997.SZ,20220824,15109.0002,15181.7846,15327.3808,15098.365,1396032.0,13310314.2
399997.SZ,20220823,15200.6897,15424.5524,15469.8036,15159.7988,1251288.0,15266728.7
399997.SZ,20220822,15443.9572,15282.2386,15530.4988,15227.3926,1191964.0,11879999.9
399997.SZ,20220819,15371.8145,15304.5261,15548.4446,15265.3545,1002609.0,10811834.2
399997.SZ,20220818,15380.5986,15554.8804,15585.7198,15260.7678,1380737.0,16840071.9
399997.SZ,20220817,15687.6843,15565.5714,15751.3074,15382.3866,1172297.0,13018569.1
399997.SZ,20220816,15559.5672,15686.5102,15763.1194,15511.2939,1020357.0,11688104.9
399997.SZ,20220815,15673.4812,15772.548,15901.7504,15610.2121,1246715.0,13630446.8
399997.SZ,20220812,15863.8862,15647.1366,15918.2026,15563.8837,1300847.0,13504238.4
399997.SZ,20220811,15627.532,15431.9607,15628.102,15395.0382,1220379.0,14724415.5
